qseqid	final_id	reason
9b516f3a27df1f7eec0600c1c388ed99970d6bde	Ascomycota%Dothideomycetes%Cladosporiales%Cladosporiaceae%Cladosporium%NA	10
cac7b8cd653bf8b6071ccc9e6d7a4f7c5c31dd07	NA%NA%NA%NA%NA%NA	10
f65d3ceb84758566bfe51126c371167041dff806	Oomycota%NA%Pythiales%NA%NA%NA	10
ce94a0dd6b06256f18aa5115763bac21809bc8d1	Basidiomycota%Agaricomycetes%Boletales%NA%NA%NA	10
dda822691ee03019c6ee9dd146c15f2e682f2883	Arthropoda%Insecta%NA%NA%NA%NA	10
dbb36e2b8c9146b0ce46214e74605cf9b6c04035	NA%NA%NA%NA%NA%NA	10
db4d99640476400e55207f989189252f16ff9ec6	NA%NA%NA%NA%NA%NA	10
d64b5e32ab5c055604f82d2d25920ad9260d2381	NA%NA%NA%NA%NA%NA	10
d7b56e6cf97b242f808bd7412afee90071b93da1	NA%NA%NA%NA%NA%NA	10
41fab024cd3026ce26b70a430b8f4ae0e4bcc731	NA%NA%NA%NA%NA%NA	10
2f21086d937df6ad03521bca7d5c1e0e9b6b1905	NA%NA%NA%NA%NA%NA	10
4392839c58853ea29115e44b82affb37d8c419af	Bacillariophyta%Bacillariophyceae%Bacillariales%Bacillariaceae%Nitzschia%Nitzschia palea	2
12c3096b3a60fb7290757d6381d6b6d128a9cdc5	Ascomycota%Eurotiomycetes%Eurotiales%Aspergillaceae%Aspergillus%NA	10
144138bedc717b327c7fbbd24d09a7245769119a	NA%NA%NA%NA%NA%NA	10
153b8022c8b984aa93c73f7bf85fc48569f8cd73	Arthropoda%Insecta%NA%NA%NA%NA	10
1765e693328a7e4ad041b3c8d1727e668e7c6f3b	NA%NA%NA%NA%NA%NA	10
1abf883192f0e0c38ce5bf7da298a8c5ad054135	Oomycota%NA%NA%NA%NA%NA	10
21de6202746d76f3e8632366bd82d05dd0293527	NA%NA%NA%NA%NA%NA	10
064f71e9476eff8480ab8002456cc3f444210f07	NA%NA%NA%NA%NA%NA	10
337e060c240ccb010b0813fdd4821e33fded1a48	NA%NA%NA%NA%NA%NA	10
3553e578c85d9708e17ee097bb435646436f71f6	Rotifera%Eurotatoria%NA%NA%NA%NA	10
38254afcab19b25d4941bbe83a927642d6a33214	NA%NA%NA%NA%NA%NA	10
3b66d2df4c2a16e7f5b90afc7ee4b0144849d303	NA%NA%NA%NA%NA%NA	10
3bcee30634327df4ab2a0ba48b3f86b42bad2b9c	NA%NA%NA%NA%NA%NA	10
448adf2177a975404a33b1cff215045cf0cb8fee	NA%NA%NA%NA%NA%NA	10
6dec5eb78f7a433257d1e5961a56287dd17d343f	NA%NA%NA%NA%NA%NA	10
65ce3368bc31bce7759e79c81f157090d9eb1bf8	NA%NA%NA%NA%NA%NA	10
666173177afb8a677e12295152ac5809a2f45b68	NA%NA%NA%NA%NA%NA	10
643f182891aa2c642ce1a5b1322e588cb03f71f1	NA%NA%NA%NA%NA%NA	10
7f3ca77e4069396d2c142cb4d21b51783df8ebd4	NA%NA%NA%NA%NA%NA	10
7b98f7d6f2a9e8880b62eb743f04251257402956	NA%NA%NA%NA%NA%NA	10
4e429f11ac01bad9ebd12ac685d0843339a08d62	NA%NA%NA%NA%NA%NA	10
4abfea5f52044dd609d9bbf04875419dfe7db968	NA%NA%NA%NA%NA%NA	10
49d3ab0f2330f7b0edc84e3d9304c35f92beaf9f	NA%NA%NA%NA%NA%NA	10
45262aa69c9da21052fa3277f15415f0bbf19fae	NA%NA%NA%NA%NA%NA	10
52204ecf053b9e52296c68035e1190d78647add8	Ascomycota%NA%NA%NA%NA%NA	10
522f83ebd480a73a181490035398e8b0308ab60b	Arthropoda%Insecta%Diptera%NA%NA%NA	10
54afdf2f5338e98522df47f470edef0b7b6ab796	Mollusca%Gastropoda%Littorinimorpha%Cochliopidae%Pyrgophorus%Pyrgophorus platyrachis	2
550ba3c1df63452ec6d136088918a6be9a55c34c	NA%NA%NA%NA%NA%NA	10
57374c5b10f892191a28419268347d6762b153f1	Cnidaria%Scyphozoa%Semaeostomeae%Ulmaridae%Aurelia%Aurelia miyakei	1
83f05066e5ee1a0757f3f661c232b024d42cfdd9	Discosea%NA%Himatismenida%NA%NA%NA	10
d6cd746d8a7f7621561090d4afe7d172343b6164	Arthropoda%Hexanauplia%Calanoida%NA%NA%NA	10
